date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:20	41000/41000	---M--	200	added ('OK')	image/jpeg	etag:%22a028-55481c2d53934%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/1.jpg	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/1.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:20	77693/77693	---M--	200	added ('OK')	image/jpeg	etag:%2212f7d-55481c2ebf193%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/3.jpg	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/3.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:20	35358/35358	---M--	200	added ('OK')	image/jpeg	etag:%228a1e-55481c2c47c12%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/2.jpg	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/2.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:22	71826/71826	---M--	200	added ('OK')	image/jpeg	etag:%2211892-55481c2eb41cc%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/4.jpg	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/4.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:22	74935/74935	---M-Z	200	added ('OK')	text/html	etag:%22124b7-556b526e452ee-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/profile.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/profile.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:23	9020/9020	---M--	200	added ('OK')	image/jpeg	etag:%22233c-54fe339c11330%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/background/user-info.jpg	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/assets/images/background/user-info.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:23	6734/6734	---M--	200	added ('OK')	image/png	etag:%221a4e-55481c3680706%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/profile.png	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/profile.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:24	53144/53144	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2001:28:46%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:24	93774/93774	---M-Z	200	added ('OK')	text/html	etag:%2216e4e-556b7d501dd6a-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/index2.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/index2.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:25	95290/95290	---M-Z	200	added ('OK')	text/html	etag:%221743a-556b7d5123ccc-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/index3.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/index3.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:25	82071/82071	---M-Z	200	added ('OK')	text/html	etag:%2214097-556b7d50f0c65-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/index4.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/index4.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:25	104057/104057	---M-Z	200	added ('OK')	text/html	etag:%2219679-556b7d51de13f-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/index5.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/index5.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:25	85034/85034	---M-Z	200	added ('OK')	text/html	etag:%2214c2a-556b7d520a82e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/index6.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/index6.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:26	63289/63289	---M-Z	200	added ('OK')	text/html	etag:%22f739-556b5280245a1-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/app-calendar.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/app-calendar.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:26	65807/65807	---M-Z	200	added ('OK')	text/html	etag:%221010f-556b5280f4d8c-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/app-chat.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/app-chat.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:26	90418/90418	---M-Z	200	added ('OK')	text/html	etag:%2216132-556b524c505cc-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/app-ticket.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/app-ticket.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
